content,score,sentiment,clean
mengapa shopee pay later sy jd 0 ga jelas ini padhal bayr selalu tepat waktu. tlg di cek admin,5,positif,shopee pay later sy jd  ga jelas padhal bayr selalu tepat waktu tlg cek admin
"BERISIK, KEBANYAKAN IKLAN DI APLIKASI LAIN GILAAAAAAAAAA. BIKIN BADMOOD, sok sok an pake ada tanda silang penjebak itu. benci bgt tiap iklan shopee lewat. IKLANNYA GAUSAH 2 MENIT BISA GAK? MANA GA BISA DI SKIP. apa lagi klo udh di tiktok lewat, dikira org konten biasa giliran di swipe malah pindah ke shopee. BENCI BGT BENCIIIIIII.",1,negatif,berisik kebanyakan iklan aplikasi gilaaaaaaaaaa bikin badmood sok sok an pake tanda silang penjebak benci bgt tiap iklan shopee lewat iklannya gausah  menit gak mana ga skip apa klo udh tiktok lewat dikira org konten biasa giliran di swipe malah pindah shopee benci bgt benciiiiiii
bagus,5,positif,bagus
bagus dan memuaskan bisa memudahkan saya untuk belanja jika sedang MLS keluar,5,positif,bagus memuaskan memudahkan untuk belanja sedang mls keluar
aplikasi yg sangat memuaskan,5,positif,aplikasi yg sangat memuaskan
"AMANAH SEMOGA SHOPEE SELALU JAYA,,,,",5,positif,amanah semoga shopee selalu jaya
Shopee selalu memberikan pelayanan yang terbaik bagi customer...terima kasih shopee 🥰,5,positif,shopee selalu memberikan pelayanan terbaik customerterima kasih shopee 
👍👍👍👍,5,positif,
bagus..apk asli ..banyak bonus dan diskon potongan harga..murah dan gratis ongkir,5,positif,bagusapk asli banyak bonus diskon potongan hargamurah gratis ongkir
mantab,5,positif,mantab
bagus dalam pelayanan,5,positif,bagus pelayanan
Dicoba dulu,5,positif,dicoba dulu
Solusi terbaik jika malas keluar cari keperluan di toko,5,positif,solusi terbaik malas keluar cari keperluan toko
jos jis ak,5,positif,jos jis ak
"KADANG NGELAG KADANG NGGAK, ANEHHHH",1,negatif,kadang ngelag kadang anehhhh
pengiriman lambat sampe sampe nunggu seminggu lebih untuk paketnya sampai ke penerima,1,negatif,pengiriman lambat sampe sampe nunggu seminggu lebih paketnya ke penerima
paket sering stack kecewa saya,1,negatif,paket sering stack kecewa
sangan membantu mantap selama ini tidak mengecewakan terus di jaga dan di pertahankan ya pelayanannya terima kasih,5,positif,sangan membantu mantap selama tidak mengecewakan terus jaga di pertahankan pelayanannya terima kasih
mudah untuk berbelanja,5,positif,mudah berbelanja
member di berikan banyak kemudahan..,5,positif,member berikan banyak kemudahan
belanja cuma 40ribu.di batal kan sistem.,1,negatif,belanja cuma ribudi batal kan sistem
bintang 5 success,5,positif,bintang  success
"Pnglaman paling bruk gunakan shope iyalah pengmblian dana ditinjau sampai 1mnggu,Sangat lelet,dan brang kita atau pakt tiba2 di kmblokn bgtu saja oleh kurir,dgn alsan tidak ada org di rumah,dan fto aatu gambr mrka ambil bkti itu bkn alamat atau kntk kita.mnta tolong atau tlfb bbtuan CS jwb tdk sesuai prtnyaan. benar2 sial,pnglmn pling bruk.",1,negatif,pnglaman paling bruk gunakan shope iyalah pengmblian dana ditinjau mnggusangat leletdan brang pakt tiba kmblokn bgtu oleh kurirdgn alsan ada org rumahdan fto aatu gambr mrka ambil bkti bkn alamat atau kntk kitamnta atau tlfb bbtuan cs jwb tdk sesuai prtnyaan benar sialpnglmn pling bruk
shopee mantap,5,positif,shopee mantap
puas dan baik produknya,5,positif,puas baik produknya
terbaik,5,positif,terbaik
mantap,5,positif,mantap
"Apa yang salah sama aplikasi shopee ini, mau cekout ga bisa, katanya sistem shopee mendeteksi adanya masalah pada aplikasi, trus nyuruh update, pilihan updatenya juga ga ada, pilihannya cuma buka sama uninstal.",5,positif,apa salah sama aplikasi shopee mau cekout ga katanya sistem shopee mendeteksi adanya masalah aplikasi trus nyuruh update pilihan updatenya ga pilihannya cuma buka sama uninstal
belanja menyenangkan dan barang ORY. ga nyesel belanja disini,5,positif,belanja menyenangkan barang ory ga nyesel belanja disini
"ekspedisi SPX ngga jelasss, pesanan udah lewat estimasi. kita komplain bukannya di usahakan pesanan agar cepat datang malah di suruh nunggu 2 hari dan di batalin. padahal kita butuh barangnya cepat",1,negatif,ekspedisi spx ngga jelasss pesanan udah lewat estimasi komplain bukannya usahakan pesanan cepat datang malah suruh nunggu  hari di batalin padahal butuh barangnya cepat
tidak merespon keluhan customer,1,negatif,merespon keluhan customer
"akun sya tidak bisa shopee letter/shopee pinjam,, padahal sudah lama jg berlangganan sama shopee,, aq tu cod terus",3,netral,akun sya bisa shopee lettershopee pinjam padahal lama jg berlangganan sama shopee aq tu cod terus
"pesen instan tapi info dari toko selalu susah dapet driver. instan tapi datengnya besok,",1,negatif,pesen instan info toko selalu susah dapet driver instan datengnya besok
untuk cs agen susah dihubungi refund tiket pesawat lama sudah 60 hari tidak kelar2 tolong ditambahkan layanan wa dsb email care susah mau komplain mudah2han dari playstore dapat terhubung ke pihak management mitra traveloka kalau ditravel agent lainya est 7 hari sudah kelar proses refund,1,negatif,cs agen susah dihubungi refund tiket pesawat lama  hari kelar ditambahkan layanan wa email care susah mau komplain mudahhan playstore terhubung pihak management mitra traveloka kalau ditravel agent lainya est  hari kelar proses refund
sangat puas,5,positif,sangat puas
sangat baik bagu,5,positif,sangat baik bagu
baik,5,positif,baik
benarkah apa yang aku bilangin baru kemaren aku update sekarang muncul lagi update alasan versi terbaru alasan versi terbaru aku ini sudah ngomong sama costumer service shopee di aplikasi shopee tapi jawaban itu itu lah maaf iya jadi kalau aku mau pakai aplikasi shopee ini aku download terus kalau sudah selesai aku hapus seperti itu dari pada kedepannya minta update terus menerus,1,negatif,benarkah apa aku bilangin baru kemaren aku update sekarang muncul update alasan versi terbaru alasan versi terbaru aku ngomong sama costumer service shopee aplikasi shopee jawaban itu lah maaf iya jadi kalau aku mau pakai aplikasi shopee aku download terus kalau sudah selesai aku hapus itu pada kedepannya minta update terus menerus
"Bagus, ada barang unik yang bisa dijual dan dipakai",5,positif,bagus barang unik bisa dijual dipakai
"Entah apa alasan nya memutus kerjasama dengan ekspedisi lain??? sedang kan SPX EXPRESS sangat lambat pengiriman nya barang sudah sampai di hub status barang sedang di antar tapi tidak sampai ke tangan pembeli dan para kurir SPX EXPRESS macam pejabat penting saja tingkah nya,di telpon di chat tidak di respon barang tidak di antar Andai kata malas ngantar tinggal aja di kantor biar pembeli yang ambil sendiri ke kantor.",1,negatif,entah apa alasan nya memutus kerjasama ekspedisi sedang kan spx express sangat lambat pengiriman nya barang hub status barang sedang antar sampai tangan pembeli para kurir spx express macam pejabat penting tingkah nyadi telpon chat respon barang tidak di antar andai kata malas ngantar tinggal aja di kantor biar pembeli ambil sendiri ke kantor
Makasih shopee sudah bikin blanja nyaman sukses selalu,5,positif,makasih shopee bikin blanja nyaman sukses selalu
sangat mudah apabila barang yg harus di kembalikan dan banyak gratis ongkir lagi,5,positif,sangat mudah apabila barang yg di kembalikan banyak gratis ongkir
"kenapasi paket shopee datangnya makin lama, sebelumnya walau pake spx hemat datengnya tetap ga selama ini + ongkirnya juga ga terlalu mahal, sekarang malah gini agak ga suka si soalnya udah pesan barang jauh sebelum hari mau pake barangnya eh tetep aja masih lama, heran...",2,negatif,kenapasi paket shopee datangnya makin lama sebelumnya pake spx hemat datengnya tetap ga selama  ongkirnya ga terlalu mahal sekarang malah gini ga suka si soalnya udah pesan barang jauh hari mau pake barangnya eh tetep aja lama heran
mantap aplikas bagus,5,positif,mantap aplikas bagus
cukup membantu sekali.. cepat dan komplain cepat ditangani,5,positif,cukup membantu sekali cepat komplain cepat ditangani
"Dengan adanya belanja online Shopee, saya sangat terbantu, belanja tdk hrs keluar rumah, sering ada promo, dan pastinya memudahkan saya sbg ibu rumah tangga",5,positif,adanya belanja online shopee sangat terbantu belanja tdk hrs keluar rumah sering promo pastinya memudahkan sbg ibu rumah tangga
beneran bsa narik,5,positif,beneran bsa narik
"bagus ,oke pokonya sih untuk shopee",5,positif,bagus oke pokonya sih shopee
"Shopee Indonesia menang bagus, mantap, aku suka banget. ...trimakasih",5,positif,shopee indonesia menang bagus mantap aku suka banget trimakasih
pliss shopee kalo upgrade aplikasi tatak letak menu jangan ganti2 terus bikin pusing 😭,1,negatif,pliss shopee kalo upgrade aplikasi tatak letak menu jangan ganti terus bikin pusing 
sangat membantu,5,positif,sangat membantu
napa sich pinjaman padahal lancar tp ga di acc lagi ...,5,positif,napa sich pinjaman padahal lancar tp ga acc 
aplikasinya bagus dan berkualitas fungsi baik,5,positif,aplikasinya bagus berkualitas fungsi baik
bgus,5,positif,bgus
baru nyoba pindah dari apk sebelah ongkir mahal,5,positif,baru nyoba pindah apk sebelah ongkir mahal
mantap,5,positif,mantap
tidak dapat memesan,1,negatif,dapat memesan
"tiati yg mau belanja di aplikasi ini, banyak penipuan, saya baru kena tipu, belanja seharga 3,3jt beli hp, yg dateng hp rusak, dan parah nya lg pihak shopee ga mau balikin duitnya... padahal bukti video unboxing udah jelas...",1,negatif,tiati yg mau belanja aplikasi banyak penipuan baru kena tipu belanja seharga jt beli hp yg dateng hp rusak parah nya lg pihak shopee ga mau balikin duitnya padahal bukti video unboxing udah jelas
good,5,positif,good
sangat membantu,5,positif,sangat membantu
iklannya ngeselin,3,netral,iklannya ngeselin
bagusssss,5,positif,bagusssss
bagus banus/diskon dan gratis ongkir,5,positif,bagus banusdiskon gratis ongkir
ok,5,positif,
bagus,5,positif,bagus
"e-commerce bagus, cuman ekspedisi nya lelet semua, cs bodo semua, ada masalah terlalu di anggap enteng",1,negatif,ecommerce bagus cuman ekspedisi nya lelet semua cs bodo semua masalah terlalu anggap enteng
kurir Shopee daerah palu pemalas semua sudah 6 kali paket cod kurirnya malah suruh ambil di kantor..di tunggu besoknya paket malah di retur alasan pembeli menolak payah layanan kurir Shopee palu Sulteng,1,negatif,kurir shopee daerah palu pemalas semua  kali paket cod kurirnya malah suruh ambil kantordi tunggu besoknya paket malah retur alasan pembeli menolak payah layanan kurir shopee palu sulteng
kmpret topup shopee pay kok ada minimum check out sekarang,2,negatif,kmpret topup shopee pay kok minimum check out sekarang
selama ini layannan bagus.. yang penting tidak tergoda dengan harga murah ..pasti dapat yg murahan juga,5,positif,selama layannan bagus penting tergoda harga murah dapat yg murahan
knpa shope aku gk bisa d buka trus klo masuk kya gk ada jaringan padahal jaringan bagus aja gmn ya padahal ada spylater lg 🥲,1,negatif,knpa shope aku gk d buka trus klo masuk kya gk jaringan padahal jaringan bagus aja gmn padahal spylater lg 
sangat membantu dan bermanfaat semoga tambah sukses...,5,positif,sangat membantu bermanfaat semoga tambah sukses
apk ini bagus tapi kadang ada produk yang tidak sesuai gambar,5,positif,apk bagus kadang produk tidak sesuai gambar
"Lumayan bagus,saya mau tanya Napa saya tidak bisa shope,ngendala tiada internet.pada hal sudah kucoba buka yg lain bisa baik2 saja internet nya",5,positif,lumayan bagussaya mau tanya napa tidak shopengendala tiada internetpada sudah kucoba buka yg bisa baik internet nya
sangat puas,4,positif,sangat puas
sangat bagus,5,positif,sangat bagus
kenapa saya tidak bisa ngirim shopee pay saya,3,netral,bisa ngirim shopee pay saya
lebih mudah saat kebutuhan mendadak,5,positif,lebih mudah kebutuhan mendadak
sangat bermanfaat buat yang lagi mager shop ke luar kota,5,positif,sangat bermanfaat buat lagi mager shop luar kota
"Pengiriman nya kacau, mengecewakan, barang tidak bisa langsung di ambil di drop point, harus nunggu kurir. sudah berkali2 barang yang tidak di antar kurir. malah dikembalikan ke penjual secara sepihak tanpa ada komunikasi apapun.",1,negatif,pengiriman nya kacau mengecewakan barang bisa langsung ambil drop point nunggu kurir berkali barang tidak antar kurir malah dikembalikan penjual sepihak ada komunikasi apapun
keren,5,positif,keren
mantaaab,5,positif,mantaaab
"kenapa klau aku pesan sering dibatalkan udh 2 kali kek gitu, klau udah mau sampai di batalkan, kenapa ya?",1,negatif,klau aku pesan sering dibatalkan udh  kali kek gitu klau udah mau di batalkan ya
ongkir murah,3,netral,ongkir murah
alhmdulillah puas blnja di shopee dapet gratis ongkir trus,5,positif,alhmdulillah puas blnja shopee dapet gratis ongkir trus
sangat membantu,5,positif,sangat membantu
"shoppe makin lama makin ga beres ya,buat shoppe kalo kurir² ga niat kerja itu gausa di rekrut saya nunggu paket saya dari tanggal:3 april sampe sekarang gada sampe²,alasan nya di aplikasi,dalam proses pengantaran.macem rumah saya di kamboja ya? padahal rumah saya masi di daerah indonesia tapi lama nya minta ampun,kalo kurir yang ga niat kerja gausa di rekrut untuk kerja,apalagi buat kurir yang panjang tangan,ini saran dan pesan dari saya aja ya udah gitu nomor kurir nya gada ga kaya sebelah hdeh",1,negatif,shoppe makin lama makin ga beres yabuat shoppe kalo kurir ga niat kerja gausa rekrut nunggu paket tanggal april sampe sekarang gada sampealasan nya aplikasidalam proses pengantaranmacem rumah kamboja padahal rumah masi daerah indonesia lama nya minta ampunkalo kurir ga niat kerja gausa di rekrut kerjaapalagi buat kurir panjang tanganini saran pesan dari saya aja udah gitu nomor kurir nya gada ga kaya sebelah hdeh
"Sangat-sangat tidak menghargai pelanggan,saya terkena kasus COD dihapus sama sekali dan tidak tampil dipilihan metode pembayaran tanpa sebab dan saya tidak pernah melakukan kesalahan apapun apalagi rektur pembelian,dan juga tempat saya dekat dengan kota;COD nya ada,tapi saat di hubungi CS Shopeenya malah ngawur jawabannya dan saat dicoba melalui chat CS nya malah berubah-rubah orangnya,bukan dicari masalahnya tapi malah menambah masalah..,sangat mengecewakan sekali",1,negatif,sangatsangat menghargai pelanggansaya terkena kasus cod dihapus sama sekali tampil dipilihan metode pembayaran sebab tidak pernah melakukan kesalahan apapun rektur pembeliandan tempat saya dekat kotacod nya adatapi di hubungi cs shopeenya malah ngawur jawabannya saat dicoba melalui chat cs nya malah berubahrubah orangnyabukan dicari masalahnya malah menambah masalahsangat mengecewakan sekali
"apk ini sangatlah buruk banget terutama kurir dan pelayanannya, saya sangat kecewa berat, paket saya tidak pernah diantarkan oleh sang kurir hingga melewati waktu estimasi nya selain itu kurir nya seperti tidak mau mengantarkan memang keliatannya kalau malas mengantarkan kan bisa dialihkan ke kurir lain, lah ini kgk sama sekali dan cuek aja dan sistem nya memang kurang di siplin kurir nya, jgn belanja di apk ini klu ga kalian akan menyesalinya sendiri nanti 😡",1,negatif,apk sangatlah buruk banget terutama kurir pelayanannya sangat kecewa berat paket tidak pernah diantarkan sang kurir hingga melewati waktu estimasi nya itu kurir nya tidak mau mengantarkan memang keliatannya kalau malas mengantarkan kan dialihkan kurir lah kgk sama sekali cuek aja sistem nya memang kurang siplin kurir nya jgn belanja apk klu ga kalian menyesalinya sendiri 
"untuk menonaktifkan fitur face id saat pembayaran tidak ada,masa harus 2 kali verifikasi habis sidik masih disuruh juga face id",2,negatif,menonaktifkan fitur face id pembayaran adamasa  kali verifikasi habis sidik disuruh face id
bagus,5,positif,bagus
sangat membantu,5,positif,sangat membantu
oke oke,5,positif,oke oke
bagus banget aplikasi nya banyak voucher pula dan murah murah,5,positif,bagus banget aplikasi nya banyak voucher dan murah murah
apknya okeh TPI apk drivernya GK ngotak bawa barang 80 dri Cibinong ke Tangsel blom sellernya GK diinput panjang lebarnya tolong lah diperbaiki systemnya blom lagi aturan baru difoto resinya harus jelas bnyak sellernya pake kertas spidol susah buat uploadnya bnyak beban ke drivernya min apa apa suspend coba lah kalian yang buat systemnya jadi drivernya enak apa GK nya dan sameday jarak dri Cibinong sampe Jaktim argo 77k aja gmna GK haus main food tiba tiba spx kan aneh,1,negatif,apknya okeh tpi apk drivernya gk ngotak bawa barang  dri cibinong tangsel blom sellernya gk diinput panjang lebarnya lah diperbaiki systemnya blom aturan baru difoto resinya jelas bnyak sellernya pake kertas spidol susah buat uploadnya bnyak beban drivernya min apa apa suspend coba lah kalian buat systemnya jadi drivernya enak apa gk nya sameday jarak dri cibinong sampe jaktim argo k aja gmna gk haus main food tiba tiba spx kan aneh
"Tolong di pengaturan akun ada opsi ganti username, terimakasih atas perhatiannya",5,positif,di pengaturan akun opsi ganti username terimakasih atas perhatiannya
bagus,3,netral,bagus
kebanyakan iklan disemua aplikasi,1,negatif,kebanyakan iklan disemua aplikasi
mantap,5,positif,mantap
mantab betul,5,positif,mantab betul
udah bagus kurang notif aja sih coba kalo ada notif barang yg udah habis bisa dikasih notif kalo barang udah ready pasti sangat membantu,5,positif,udah bagus kurang notif aja sih coba kalo notif barang yg udah habis dikasih notif kalo barang udah ready sangat membantu
bagus,5,positif,bagus
"bisa cari banyak barang dengan banyak pilihan, harga bersaing dan free ongkir",5,positif,cari banyak barang banyak pilihan harga bersaing free ongkir
saya suka,5,positif,suka
terimakasih kepada semua pihak shopee.. saya terbantu masalah ekonomi dan berkerjaan.. allhamdulilah,5,positif,terimakasih semua pihak shopee terbantu masalah ekonomi berkerjaan allhamdulilah
"saran sedikit untuk shopee indonesia, supaya mencantumkan nomor telepon kurir di data pelacakan pengiriman barang, seperti apk tokop*d*a. karena terkadang barang kembali namun kurir tidak ada telepon ataupun menghubungi penerima. dan bahkan sering kurir menitipkan barang tanpa konfirmasi. terima kasih",4,positif,saran sedikit shopee indonesia mencantumkan nomor telepon kurir data pelacakan pengiriman barang apk tokopda terkadang barang namun kurir ada telepon ataupun menghubungi penerima bahkan sering kurir menitipkan barang konfirmasi terima kasih
saya Kash bintang 5,5,positif,kash bintang 
okeyy,5,positif,okeyy
"apk nya bagus, tapi akhir akhir ini pengiriman spx nya lamban bgt .. dan jadi males kalo mau belanja lagi ..",2,negatif,apk nya bagus akhir akhir pengiriman spx nya lamban bgt  jadi males kalo mau belanja 
"ya, terimakasih shopee .berkat shopee saya jadi lebih mudah berbelanja.walaupun tokoh jauh terasah dekat.",5,positif,terimakasih shopee berkat shopee jadi lebih mudah berbelanjawalaupun tokoh jauh terasah dekat
perlu ada perbaikan di kata kunci nyari apa keluarnya apa,1,negatif,perlu perbaikan kata kunci nyari apa keluarnya apa
sangat membantu untuk membeli yang diperlukan,5,positif,sangat membantu membeli diperlukan
sangat puas pelayanan yg bagus barang sampai sesuai jadwal,5,positif,sangat puas pelayanan yg bagus barang sesuai jadwal
goood,5,positif,goood
Mantull...Lriss mniss tanjung kimpul duit abiss brang tak gumpul...😝,5,positif,mantulllriss mniss tanjung kimpul duit abiss brang tak gumpul
"baik lancar,semangat,tingkat,kan,untuk pelanggan,setia",5,positif,baik lancarsemangattingkatkanuntuk pelanggansetia
😘😘😘😘😘,5,positif,
"aplikasi penjajah buat para driver,itu kalo shopee ada kantor di bandung,pasti sudah di kepung driver sebandung raya",1,negatif,aplikasi penjajah buat driveritu kalo shopee kantor bandungpasti di kepung driver sebandung raya
mantap,5,positif,mantap
"kali ini sy sangat kecewa bgt sama shopee,beli hp ditoko Aurora loka, dikirim hp refurbish udah gt hp rusak lg ga bisa pake kartu SIM,coba minta pengembalian barang ga bisa,klaim garansi jg ga bisa,dengan berbagai dalih penjual sengaja mengulur waktu dari tgl 8 -13 sampai laporan shopee dinyatakan selesai,biar saya ga bisa klaim garansi,harusnya shopee tau dong dari riwayat chat sy dgn penjual belum ada titik temu,ko bisa dinyatakan selesai",1,negatif,kali sy sangat kecewa bgt sama shopeebeli hp ditoko aurora loka dikirim hp refurbish udah gt hp rusak lg ga pake kartu simcoba minta pengembalian barang ga bisaklaim garansi jg ga bisadengan berbagai dalih penjual sengaja mengulur waktu tgl   laporan shopee dinyatakan selesaibiar ga klaim garansiharusnya shopee tau dong riwayat chat sy dgn penjual ada titik temuko dinyatakan selesai
oke,5,positif,oke
sangat suka krn mengutamakan kenyamanan dan keamaanan produk,5,positif,sangat suka krn mengutamakan kenyamanan keamaanan produk
cs shopee tidak mau tanggapi saya jadi saya balas bintang 1 disini saja,1,negatif,cs shopee mau tanggapi jadi balas bintang  disini
top puasssss,5,positif,top puasssss
"pokoknya rekomendasi banget,. terimakasih shopee",5,positif,pokoknya rekomendasi banget terimakasih shopee
terjamin dan terpercaya pelayanannya,5,positif,terjamin terpercaya pelayanannya
"aplikasi cukup bagus dan mudah di gunakan ya,banyak fitur menarik ta Pi saya sangat kecewa dengan sistem expedisinya kenapa sering salah input dengan milik punya orang lain, jadinya kan ribet",3,netral,aplikasi cukup bagus mudah gunakan yabanyak fitur menarik ta pi sangat kecewa sistem expedisinya sering salah input milik punya orang jadinya kan ribet
bintang yg bebicara,5,positif,bintang yg bebicara
"cepat,tepat sesuai pesanan.... bagi konsumen Baru cari yg Bintang d atas 4,9 y.....",5,positif,cepattepat sesuai pesanan konsumen baru cari yg bintang d atas  y
"barang sesuai gambar , ulasan produk terbuktikanproses cepat toko jaga kwalitas pelayanan sangat amanah trimakasih",5,positif,barang sesuai gambar  ulasan produk terbuktikanproses cepat toko jaga kwalitas pelayanan sangat amanah trimakasih
Shopee mantap,5,positif,shopee mantap
kalau bisa ongkirnya d turunin lagi pre ongkirnya d perbanyak,5,positif,kalau ongkirnya d turunin pre ongkirnya d perbanyak
"sangat puas dengan aplikasinya, udah berapa tahun saya pakai tdak pernah mengecewakan, dan saya udah tidak repot"" ke toko belanja selama ada shopee",5,positif,sangat puas aplikasinya udah berapa tahun pakai tdak pernah mengecewakan saya udah repot toko belanja selama shopee
Lebih mudah dan cepat,5,positif,lebih mudah cepat
"IKLAN LO DI WATTPAD GANGGU BANGET, SUMPAH. orang lagi baca juga. buku udah mahal, orang-orang pada miskin, ada aplikasi bacaan bagus lo malahan nyempil, MAKSA masuk ke aplikasi lagi. dunia udah tahu kali kalau lu tuh ada. caper banget.",1,negatif,iklan lo wattpad ganggu banget sumpah orang baca buku udah mahal orangorang miskin aplikasi bacaan bagus lo malahan nyempil maksa masuk aplikasi dunia udah tahu kali kalau lu tuh caper banget
puas bangat kirirnya jg baik bangat,5,positif,puas bangat kirirnya jg baik bangat
kalau produk tidak bisa di akses jangan di tampilkan,1,negatif,kalau produk bisa akses jangan tampilkan
barang yang dijual sesuai yg tertera di apk,4,positif,barang dijual sesuai yg tertera apk
"shopee memang bagus tp pelayanan ekspedisinya nol pesan kipas berhari2 gak sampe2 ternyata memang ada ada d gudang kurirnya males nganter, sekarang pesan ban motor harusnya sudah sampe ternyata barang masih d gudang juga gak d kirim2 kapokkk belanja d shopee, mending d tiktok aja pengiriman jnt cepat secepat kilat tolong ya shopee ekspedisinya d perbaiki",1,negatif,shopee memang bagus tp pelayanan ekspedisinya nol pesan kipas berhari gak sampe ternyata memang ada d gudang kurirnya males nganter sekarang pesan ban motor harusnya sampe ternyata barang d gudang gak d kirim kapokkk belanja d shopee mending d tiktok aja pengiriman jnt cepat secepat kilat ya shopee ekspedisinya d perbaiki
karena barang yang saya beli tidak sesuai 1,1,negatif,barang saya beli sesuai 
good,5,positif,good
tidak menarik,1,negatif,menarik
baguss,5,positif,baguss
hapus saja terus Shopee produk2 yg katanya menjual barang palsu..padahal kita ga jual barang2 palsu.. customer juga ga ada yg komplen kok di bilang barang palsu.. lamaa 2 eneg juga.. klo ga ada perubahan lihat saja semua produk kita pindahin ke tok tok semua yg ga bnyk aturan,1,negatif,hapus terus shopee produk yg katanya menjual barang palsupadahal ga jual barang palsu customer ga yg komplen kok bilang barang palsu lamaa  eneg klo ga perubahan lihat semua produk pindahin tok tok semua yg ga bnyk aturan
asli bagussss bngttttt,5,positif,asli bagussss bngttttt
"apk shopee lelet nya minta ampun , suka tiba2 gak bisa di pencettt",1,negatif,apk shopee lelet nya minta ampun  suka tiba gak di pencettt
saya sangat senang dengan shopee Indonesia karena semua barang nya murah murah makanya saya kasih bintang lima terimakasih atas pelayanan shopee Indonesia,5,positif,sangat senang shopee indonesia semua barang nya murah murah makanya kasih bintang lima terimakasih atas pelayanan shopee indonesia
"selama ada shopee selain makanan aku udah gak pernah belanja di pasar,muantap benar bisa, beli produk asli dgn harga murah, gratis ongkir lagi😅😅😅",5,positif,selama shopee makanan aku udah gak pernah belanja pasarmuantap benar beli produk asli dgn harga murah gratis ongkir
mantap,5,positif,mantap
😡 masa saya pas mau urus pengembalian barang atau repture harus kirim pake biaya sendiri dan di tolak sama (spx) shoppe xpress masa di suruh kirim lewat jnt dan jne pake biaya sendiri.,1,negatif, masa pas mau urus pengembalian barang repture kirim pake biaya sendiri tolak sama spx shoppe xpress masa di suruh kirim lewat jnt jne pake biaya sendiri
pelayanan sesuai harapan,5,positif,pelayanan sesuai harapan
like,5,positif,like
cukup membantu,3,netral,cukup membantu
b aja,5,positif,b aja
"kenapa akun saya selalu kena tahan salah apa...??? saya maling nggak,nyopet nggak,judi nggak😭😭😭",1,negatif,akun selalu kena tahan salah apa maling nggaknyopet nggakjudi
mantap..,5,positif,mantap
Sumpah sih bagus banget,5,positif,sumpah sih bagus banget
"Belanja di shopee gak pernah ketipu,,barang dan harganya sesuai bangetzzzzz dan memuaskannn!",5,positif,belanja shopee gak pernah ketipubarang harganya sesuai bangetzzzzz memuaskannn
apk banyak penipu,1,negatif,apk banyak penipu
saya sangat menyukai aplikasi shoope karena cukup co saja paket nya langsung datang tnpa hrus keluar rumah aplikasi nya juga bagus bangettt,5,positif,sangat menyukai aplikasi shoope cukup co paket nya langsung datang tnpa hrus keluar rumah aplikasi nya bagus bangettt
"barang bagus ori murah minusnya cuman di pengiriman lama banget, beda kalo beli di tiktok shop paling lama 2 hari langsung nyampe",3,netral,barang bagus ori murah minusnya cuman pengiriman lama banget beda kalo beli tiktok shop paling lama  hari langsung nyampe
👍,4,positif,
bagus,4,positif,bagus
Membantu dalam belanja online,5,positif,membantu belanja online
bisa membantu blanja cepat dn bagus,5,positif,membantu blanja cepat dn bagus
sangat bagus,5,positif,sangat bagus
"Belanja di Shopee selain mudah, murah, praktis juga taktis. Bikin candu 😁",5,positif,belanja shopee mudah murah praktis taktis bikin candu 
apk lawak gua pesan paket casing apa di kirimnya lain ga sesuai pesanan,1,negatif,apk lawak gua pesan paket casing apa kirimnya ga sesuai pesanan
sangat suka,5,positif,sangat suka
🅑🅐🅖🅤🅢,5,positif,
"2x barang saya di kembalikan dengan alasan yg gak masuk akal, kurir SPX cargo nya gak kerja",1,negatif,x barang di kembalikan alasan yg gak masuk akal kurir spx cargo nya gak kerja
shoope retur aja ribed mding lu pada pindah tiktok dah retur gampang,1,negatif,shoope retur aja ribed mding lu pindah tiktok dah retur gampang
saya sangat kecewa dengan Shopee pengembalian barang sudah sesuai prosedur(retur) pas pengembalian dana estimasi tanggal 24 maret sampai tanggal 14 April BELUM di transfer'' BAGAIMANA INI SOLUSINYA #KAGA KAGA LAGI DAH,1,negatif,sangat kecewa shopee pengembalian barang sesuai prosedurretur pas pengembalian dana estimasi tanggal  maret tanggal  april di transfer bagaimana solusinya kaga kaga dah
"Sy PeCandu Pengguna Shopee sbg media Belanja...Selain Barang Sesuai, Harga miring d banding dg yg lain....TerLanjur♥️🤭😄😄😄🙏🙏",5,positif,sy pecandu pengguna shopee sbg media belanjaselain barang sesuai harga miring d banding dg yg lainterlanjur
keren,5,positif,keren
harga terjangkau semoga dapat bonus voucer,5,positif,harga terjangkau semoga bonus voucer
matap,5,positif,matap
"Kemarin saya tf saldo ke digipos melalui shopeepay, dishopeepaynya berhasil tapi tidak masuk ke digiposnya, nomor tf sudah benar. ini bagaimana ini solusinya?",1,negatif,kemarin tf saldo digipos melalui shopeepay dishopeepaynya berhasil tidak masuk digiposnya nomor tf benar bagaimana solusinya
mangkin banyak vendor2 yg berkualitas jempol... sukses selalu shopee....,5,positif,mangkin banyak vendor yg berkualitas jempol sukses selalu shopee
mantap,5,positif,mantap
bisa mempermudah pembelanjaan dari jarak jauh,5,positif,mempermudah pembelanjaan jarak jauh
mantap,5,positif,mantap
ok bos,5,positif,bos
bagus aman dan terpercaya,5,positif,bagus aman terpercaya
sangat puaaas min terimakasih 👍👍👍,5,positif,sangat puaaas min terimakasih 
